0	1
1	49
2	262
3	38
4	29
5	19
6	5
7	4
8	15
9	15
10	5
11	32
12	6
13	64
14	78
15	7
16	34
17	74
18	11
19	0
20	102
21	91
22	7
23	29
24	25
25	16
26	113
27	3
28	60
29	56
30	5
31	6
32	97
33	100
34	59
35	1
36	49
37	66
38	21
39	28
40	131
41	15
42	64
43	3
44	91
45	9
46	11
47	49
48	37
49	6
50	52
51	53
52	25
53	101
54	20
55	16
56	5
57	93
58	45
59	29
60	5
61	36
62	1
63	10
64	17
65	7
66	269
67	116
68	54
69	35
70	8
71	84
72	7
73	43
74	26
75	1
76	46
77	1
78	4
79	0
80	147
81	58
82	254
83	7
84	11
85	3
86	183
87	57
88	40
89	1
90	140
91	52
92	11
93	12
94	88
95	50
96	55
97	21
98	39
99	39
100	21
101	60
102	50
103	20
104	89
105	4
106	40
107	11
108	13
109	7
110	12
111	123
112	50
113	63
114	107
115	26
116	21
117	4
118	87
119	18
120	23
121	57
122	4
123	51
124	1
125	36
126	75
127	83
128	3
129	6
130	63
131	12
132	84
133	46
134	9
135	5
136	18
137	13
138	77
139	11
140	61
141	29
142	44
143	77
144	61
145	33
146	37
147	152
148	33
149	51
150	5
151	99
152	21
153	13
154	12
155	13
156	4
157	22
158	27
159	17
160	49
161	0
162	11
163	6
164	76
165	23
166	5
167	87
168	11
169	17
170	115
171	38
172	13
173	26
174	25
175	38
176	37
177	50
178	53
179	94
180	14
181	27
182	30
183	9
184	8
185	76
186	0
187	53
188	4
189	18
190	9
191	50
192	6
193	58
194	45
195	87
196	110
197	4
198	27
199	62
200	122
201	80
202	43
203	28
204	7
205	17
206	96
207	6
208	284
209	6
210	8
211	75
212	74
213	94
214	2
215	1
216	30
217	64
218	42
219	48
220	97
221	42
222	120
223	95
224	48
225	95
226	3
227	35
228	16
229	57
230	55
231	12
232	27
233	44
234	15
235	93
236	27
237	29
238	12
239	45
240	29
241	23
242	27
243	2
244	16
245	28
246	1
247	23
248	53
249	44
250	1
251	10
252	9
253	40
254	43
255	135
256	92
257	86
258	32
259	61
260	134
261	31
262	7
263	5
264	26
265	63
266	221
267	35
268	167
269	93
270	8
271	41
272	41
273	48
274	48
275	48
276	48
277	23
278	67
279	1
280	3
281	3
282	24
283	48
284	9
285	70
286	7
287	4
288	46
289	6
290	90
291	1
292	86
293	44
294	32
295	1
296	44
297	44
298	0
299	74
300	46
301	0
302	9
303	1
304	7
305	1
306	2
307	20
308	18
309	138
310	3
311	28
312	16
313	0
314	4
315	37
316	106
317	106
318	57
319	16
320	8
321	188
322	106
323	19
324	1
325	2
326	30
327	2
328	4
329	6
330	30
331	1
332	12
333	88
334	25
335	23
336	38
337	44
338	39
339	1
340	59
341	94
342	1
343	1
344	55
345	23
346	41
347	0
348	5
349	96
350	5
351	4
352	32
353	62
354	57
355	19
356	19
357	123
358	19
359	19
360	14
361	19
362	45
363	79
364	19
365	100
366	44
367	101
368	40
369	16
370	0
371	123
372	84
373	52
374	18
375	91
376	0
377	53
378	25
379	22
380	19
381	9
382	74
383	9
384	52
385	7
386	154
387	17
388	8
389	38
390	85
391	30
392	64
393	8
394	50
395	69
396	71
397	64
398	55
399	72
400	73
401	68
402	51
403	64
404	20
405	82
406	51
407	62
408	66
409	13
410	37
411	13
412	4
413	65
414	26
415	171
416	39
417	65
418	52
419	12
420	164
421	62
422	62
423	139
424	2
425	72
426	16
427	11
428	43
429	8
430	9
431	18
432	87
433	18
434	4
435	27
436	12
437	0
438	61
439	35
440	39
441	30
442	1
443	53
444	117
445	46
446	33
447	4
448	96
449	1
450	59
451	18
452	87
453	1
454	18
455	24
456	40
457	15
458	71
459	34
460	1
461	4
462	57
463	8
464	10
465	15
466	24
467	48
468	57
469	21
470	5
471	49
472	2
473	85
474	48
475	13
476	9
477	14
478	95
479	106
480	55
481	55
482	19
483	57
484	5
485	57
486	54
487	230
488	6
489	48
490	39
491	0
492	60
493	57
494	14
495	48
496	100
497	44
498	48
499	35
500	78
501	11
502	131
503	209
504	29
505	87
506	27
507	69
508	26
509	37
510	20
511	1
512	22
513	14
514	80
515	78
516	82
517	28
518	192
519	34
520	8
521	43
522	15
523	86
524	247
525	119
526	59
527	21
528	3
529	69
530	12
531	66
532	17
533	66
534	66
535	66
536	66
537	4
538	18
539	8
540	97
541	25
542	197
543	0
544	34
545	7
546	62
547	66
548	35
549	49
550	47
551	37
552	6
553	16
554	16
555	0
556	16
557	8
558	36
559	4
560	16
561	45
562	5
563	26
564	7
565	25
566	107
567	185
568	49
569	3
570	13
571	110
572	100
573	52
574	1
575	25
576	17
577	27
578	0
579	25
580	22
581	53
582	2
583	2
584	37
585	99
586	10
587	26
588	46
589	43
590	195
591	1
592	1
593	0
594	17
595	35
596	24
597	6
598	1
599	2
600	7
601	23
602	30
603	130
604	1
605	5
606	6
607	32
608	8
609	118
610	102
611	11
612	13
613	14
614	22
615	30
616	79
617	1
618	2
619	70
620	7
621	3
622	25
623	2
624	162
625	18
626	8
627	6
628	43
629	13
630	78
631	97
632	12
633	8
634	44
635	6
636	8
637	26
638	13
639	30
640	126
641	20
642	80
643	82
644	10
645	43
646	10
647	13
648	82
649	29
650	10
651	37
652	10
653	82
654	17
655	63
656	30
657	30
658	11
659	10
660	107
661	37
662	3
663	44
664	95
665	125
666	92
667	5
668	15
669	74
670	100
671	172
672	49
673	46
674	6
675	4
676	119
677	31
678	20
679	90
680	43
681	63
682	99
683	63
684	63
685	72
686	73
687	36
688	10
